ISZ|SIANo|SUNo|SumOfNoPiece|PerGroup
Karkotis||SU1022|5.00|Medieval-Modern
Karkotis||SU1022|2.00|Prehistoric
Karkotis||SU1023|66.00|
Karkotis||SU1023|33.00|Hellenistic-Roman
Karkotis||SU1023|5.00|Medieval-Modern
Karkotis||SU1024|75.00|
Karkotis||SU1024|53.00|Hellenistic-Roman
Karkotis||SU1024|1.00|Iron Age
Karkotis||SU1024|12.00|Medieval-Modern
Karkotis||SU1024|1.00|Prehistoric
Karkotis||SU1025|55.00|
Karkotis||SU1025|11.00|Hellenistic-Roman
Karkotis||SU1025|1.00|Iron Age
Karkotis||SU1025|7.00|Medieval-Modern
Karkotis||SU1026|48.00|
Karkotis||SU1026|8.00|Hellenistic-Roman
Karkotis||SU1026|1.00|Iron Age
Karkotis||SU1026|15.00|Medieval-Modern
Karkotis||SU1027|20.00|
Karkotis||SU1027|18.00|Medieval-Modern
Karkotis||SU1027|1.00|Prehistoric
Karkotis||SU1028|14.00|
Karkotis||SU1028|28.00|Medieval-Modern
Karkotis||SU1029|32.00|
Karkotis||SU1029|7.00|Hellenistic-Roman
Karkotis||SU1029|3.00|Iron Age
Karkotis||SU1029|10.00|Medieval-Modern
Karkotis||SU1029|4.00|Prehistoric
Karkotis||SU1030|47.00|
Karkotis||SU1030|3.00|Hellenistic-Roman
Karkotis||SU1030|2.00|Iron Age
Karkotis||SU1030|29.00|Medieval-Modern
Karkotis||SU1031|30.00|
Karkotis||SU1031|1.00|Hellenistic-Roman
Karkotis||SU1031|2.00|Iron Age
Karkotis||SU1031|6.00|Medieval-Modern
Karkotis||SU1031|1.00|Prehistoric
Karkotis||SU1032|30.00|
Karkotis||SU1032|10.00|Hellenistic-Roman
Karkotis||SU1032|2.00|Iron Age
Karkotis||SU1032|6.00|Medieval-Modern
Karkotis||SU1033|2.00|
Karkotis||SU1033|2.00|Hellenistic-Roman
Karkotis||SU1033|5.00|Medieval-Modern
Karkotis||SU1034|27.00|
Karkotis||SU1034|14.00|Hellenistic-Roman
Karkotis||SU1034|1.00|Iron Age
Karkotis||SU1034|9.00|Medieval-Modern
Karkotis||SU1035|30.00|
Karkotis||SU1035|19.00|Hellenistic-Roman
Karkotis||SU1035|19.00|Medieval-Modern
Karkotis||SU1036|44.00|
Karkotis||SU1036|1.00|Byzantine
Karkotis||SU1036|16.00|Hellenistic-Roman
Karkotis||SU1036|10.00|Medieval-Modern
Karkotis||SU1036|1.00|Prehistoric
Karkotis||SU1037|21.00|
Karkotis||SU1037|8.00|Hellenistic-Roman
Karkotis||SU1037|32.00|Medieval-Modern
Karkotis||SU1038|24.00|
Karkotis||SU1038|1.00|Byzantine
Karkotis||SU1038|12.00|Hellenistic-Roman
Karkotis||SU1038|51.00|Medieval-Modern
Karkotis||SU1038|2.00|Prehistoric
Karkotis||SU1039|44.00|
Karkotis||SU1039|14.00|Hellenistic-Roman
Karkotis||SU1039|63.00|Medieval-Modern
Karkotis||SU1039|8.00|Prehistoric
Karkotis||SU1040|39.00|
Karkotis||SU1040|9.00|Hellenistic-Roman
Karkotis||SU1040|2.00|Iron Age
Karkotis||SU1040|19.00|Medieval-Modern
Karkotis||SU1040|3.00|Prehistoric
Karkotis||SU1041|26.00|
Karkotis||SU1041|6.00|Hellenistic-Roman
Karkotis||SU1041|8.00|Medieval-Modern
Karkotis||SU1042|58.00|
Karkotis||SU1042|14.00|Hellenistic-Roman
Karkotis||SU1042|17.00|Medieval-Modern
Karkotis||SU1042|8.00|Prehistoric
Karkotis||SU1043|60.00|
Karkotis||SU1043|5.00|Hellenistic-Roman
Karkotis||SU1043|12.00|Medieval-Modern
Karkotis||SU1044|52.00|
Karkotis||SU1044|12.00|Hellenistic-Roman
Karkotis||SU1044|35.00|Medieval-Modern
Karkotis||SU1044|2.00|Prehistoric
Karkotis||SU1045|31.00|
Karkotis||SU1045|3.00|Hellenistic-Roman
Karkotis||SU1045|1.00|Iron Age
Karkotis||SU1045|2.00|Medieval-Modern
Karkotis||SU1045|3.00|Prehistoric
Karkotis||SU1046|36.00|
Karkotis||SU1046|8.00|Hellenistic-Roman
Karkotis||SU1046|36.00|Medieval-Modern
Karkotis||SU1047|29.00|
Karkotis||SU1047|3.00|Hellenistic-Roman
Karkotis||SU1047|9.00|Medieval-Modern
Karkotis||SU1047|1.00|Prehistoric
Karkotis||SU1048|36.00|
Karkotis||SU1048|15.00|Hellenistic-Roman
Karkotis||SU1048|1.00|Iron Age
Karkotis||SU1048|6.00|Medieval-Modern
Karkotis||SU1049|29.00|
Karkotis||SU1049|10.00|Hellenistic-Roman
Karkotis||SU1049|11.00|Medieval-Modern
Karkotis||SU1049|2.00|Prehistoric
Karkotis||SU1050|35.00|
Karkotis||SU1050|10.00|Hellenistic-Roman
Karkotis||SU1050|8.00|Medieval-Modern
Karkotis||SU1051|14.00|
Karkotis||SU1051|10.00|Hellenistic-Roman
Karkotis||SU1051|1.00|Iron Age
Karkotis||SU1051|1.00|Medieval-Modern
Karkotis||SU1052|4.00|
Karkotis|TS09|SU1053|38.00|
Karkotis|TS09|SU1053|3.00|Hellenistic-Roman
Karkotis|TS09|SU1053|7.00|Iron Age
Karkotis|TS09|SU1053|25.00|Medieval-Modern
Karkotis|TS09|SU1053|3.00|Prehistoric
Karkotis|TS09|SU1054|77.00|
Karkotis|TS09|SU1054|17.00|Hellenistic-Roman
Karkotis|TS09|SU1054|7.00|Iron Age
Karkotis|TS09|SU1054|30.00|Medieval-Modern
Karkotis|TS09|SU1054|3.00|Prehistoric
Karkotis|TS09|SU1055|41.00|
Karkotis|TS09|SU1055|3.00|Hellenistic-Roman
Karkotis|TS09|SU1055|6.00|Iron Age
Karkotis|TS09|SU1055|14.00|Medieval-Modern
Karkotis|TS09|SU1055|3.00|Prehistoric
Karkotis|TS09|SU1056|48.00|
Karkotis|TS09|SU1056|6.00|Hellenistic-Roman
Karkotis|TS09|SU1056|5.00|Iron Age
Karkotis|TS09|SU1056|18.00|Medieval-Modern
Karkotis|TS09|SU1056|4.00|Prehistoric
Karkotis|TS09|SU1057|51.00|
Karkotis|TS09|SU1057|5.00|Hellenistic-Roman
Karkotis|TS09|SU1057|7.00|Iron Age
Karkotis|TS09|SU1057|10.00|Medieval-Modern
Karkotis|TS09|SU1057|1.00|Prehistoric
Karkotis|TS09|SU1058|52.00|
Karkotis|TS09|SU1058|4.00|Hellenistic-Roman
Karkotis|TS09|SU1058|2.00|Iron Age
Karkotis|TS09|SU1058|11.00|Medieval-Modern
Karkotis|TS09|SU1058|2.00|Prehistoric
Karkotis|TS09|SU1059|43.00|
Karkotis|TS09|SU1059|11.00|Hellenistic-Roman
Karkotis|TS09|SU1059|1.00|Medieval-Modern
Karkotis|TS09|SU1059|2.00|Prehistoric
Karkotis|TS09|SU1060|41.00|
Karkotis|TS09|SU1060|13.00|Hellenistic-Roman
Karkotis|TS09|SU1060|4.00|Iron Age
Karkotis|TS09|SU1060|6.00|Medieval-Modern
Karkotis|TS09|SU1061|77.00|
Karkotis|TS09|SU1061|26.00|Hellenistic-Roman
Karkotis|TS09|SU1061|7.00|Iron Age
Karkotis|TS09|SU1061|20.00|Medieval-Modern
Karkotis|TS09|SU1061|2.00|Prehistoric
Karkotis|TS09|SU1062|67.00|
Karkotis|TS09|SU1062|15.00|Hellenistic-Roman
Karkotis|TS09|SU1062|6.00|Iron Age
Karkotis|TS09|SU1062|26.00|Medieval-Modern
Karkotis|TS09|SU1063|95.00|
Karkotis|TS09|SU1063|25.00|Hellenistic-Roman
Karkotis|TS09|SU1063|7.00|Iron Age
Karkotis|TS09|SU1063|16.00|Medieval-Modern
Karkotis|TS09|SU1063|1.00|Prehistoric
Karkotis|TS09|SU1064|98.00|
Karkotis|TS09|SU1064|31.00|Hellenistic-Roman
Karkotis|TS09|SU1064|7.00|Iron Age
Karkotis|TS09|SU1064|8.00|Medieval-Modern
Karkotis|TS09|SU1064|1.00|Prehistoric
Karkotis|TS09|SU1065|63.00|
Karkotis|TS09|SU1065|20.00|Hellenistic-Roman
Karkotis|TS09|SU1065|5.00|Iron Age
Karkotis|TS09|SU1065|37.00|Medieval-Modern
Karkotis|TS09|SU1065|1.00|Prehistoric
Karkotis|TS09|SU1066|56.00|
Karkotis|TS09|SU1066|1.00|Hellenistic-Roman
Karkotis|TS09|SU1066|1.00|Iron Age
Karkotis|TS09|SU1066|19.00|Medieval-Modern
Karkotis|TS09|SU1066|32.00|Prehistoric
Karkotis|TS09|SU1067|64.00|
Karkotis|TS09|SU1067|5.00|Hellenistic-Roman
Karkotis|TS09|SU1067|6.00|Iron Age
Karkotis|TS09|SU1067|12.00|Medieval-Modern
Karkotis|TS09|SU1067|5.00|Prehistoric
Karkotis|TS09|SU1068|47.00|
Karkotis|TS09|SU1068|5.00|Hellenistic-Roman
Karkotis|TS09|SU1068|1.00|Iron Age
Karkotis|TS09|SU1068|25.00|Medieval-Modern
Karkotis|TS09|SU1068|2.00|Prehistoric
Karkotis|TS09|SU1069|36.00|
Karkotis|TS09|SU1069|5.00|Hellenistic-Roman
Karkotis|TS09|SU1069|5.00|Medieval-Modern
Karkotis|TS09|SU1070|58.00|
Karkotis|TS09|SU1070|12.00|Hellenistic-Roman
Karkotis|TS09|SU1070|1.00|Iron Age
Karkotis|TS09|SU1070|8.00|Medieval-Modern
Karkotis|TS09|SU1070|1.00|Prehistoric
Karkotis|TS09|SU1071|43.00|
Karkotis|TS09|SU1071|3.00|Hellenistic-Roman
Karkotis|TS09|SU1071|11.00|Medieval-Modern
Karkotis|TS09|SU1071|3.00|Prehistoric
Karkotis|TS13|SU1072|61.00|
Karkotis|TS13|SU1072|23.00|Hellenistic-Roman
Karkotis|TS13|SU1072|1.00|Iron Age
Karkotis|TS13|SU1072|1.00|Medieval-Modern
Karkotis|TS13|SU1073|52.00|
Karkotis|TS13|SU1073|24.00|Hellenistic-Roman
Karkotis|TS13|SU1073|2.00|Medieval-Modern
Karkotis|TS13|SU1074|44.00|
Karkotis|TS13|SU1074|18.00|Hellenistic-Roman
Karkotis|TS13|SU1074|1.00|Medieval-Modern
Karkotis|TS13|SU1075|51.00|
Karkotis|TS13|SU1075|24.00|Hellenistic-Roman
Karkotis|TS13|SU1075|5.00|Medieval-Modern
Karkotis|TS13|SU1075|2.00|Prehistoric
Karkotis|TS13|SU1076|44.00|
Karkotis|TS13|SU1076|28.00|Hellenistic-Roman
Karkotis|TS13|SU1076|1.00|Iron Age
Karkotis|TS13|SU1076|5.00|Medieval-Modern
Karkotis|TS13|SU1077|26.00|
Karkotis|TS13|SU1077|11.00|Hellenistic-Roman
Karkotis|TS13|SU1077|6.00|Medieval-Modern
Karkotis|TS13|SU1078|16.00|
Karkotis|TS13|SU1078|4.00|Hellenistic-Roman
Karkotis|TS13|SU1078|5.00|Medieval-Modern
Karkotis|TS09|SU1079|52.00|
Karkotis|TS09|SU1079|15.00|Hellenistic-Roman
Karkotis|TS09|SU1079|4.00|Iron Age
Karkotis|TS09|SU1079|6.00|Medieval-Modern
Karkotis|TS09|SU1079|6.00|Prehistoric
Karkotis|TS09|SU1080|45.00|
Karkotis|TS09|SU1080|4.00|Hellenistic-Roman
Karkotis|TS09|SU1080|1.00|Iron Age
Karkotis|TS09|SU1080|1.00|Medieval-Modern
Karkotis|TS09|SU1081|15.00|
Karkotis|TS09|SU1081|1.00|Hellenistic-Roman
Karkotis|TS09|SU1081|1.00|Iron Age
Karkotis|TS09|SU1081|1.00|Medieval-Modern
Karkotis|TS15|SU1082|61.00|
Karkotis|TS15|SU1082|32.00|Hellenistic-Roman
Karkotis|TS15|SU1082|3.00|Iron Age
Karkotis|TS15|SU1082|8.00|Medieval-Modern
Karkotis|TS15|SU1083|95.00|
Karkotis|TS15|SU1083|54.00|Hellenistic-Roman
Karkotis|TS15|SU1083|2.00|Iron Age
Karkotis|TS15|SU1083|14.00|Medieval-Modern
Karkotis|TS15|SU1084|6.00|
Karkotis|TS15|SU1084|2.00|Hellenistic-Roman
Karkotis|TS15|SU1084|2.00|Iron Age
Karkotis|TS15|SU1084|3.00|Medieval-Modern
Karkotis||SU1085|65.00|
Karkotis||SU1085|2.00|Hellenistic-Roman
Karkotis||SU1085|3.00|Iron Age
Karkotis||SU1085|3.00|Medieval-Modern
Karkotis||SU1085|2.00|Prehistoric
Karkotis||SU1086|64.00|
Karkotis||SU1086|4.00|Hellenistic-Roman
Karkotis||SU1086|5.00|Medieval-Modern
Karkotis||SU1086|4.00|Prehistoric
Karkotis||SU1087|81.00|
Karkotis||SU1087|7.00|Hellenistic-Roman
Karkotis||SU1087|3.00|Medieval-Modern
Karkotis||SU1087|10.00|Prehistoric
Karkotis||SU1088|22.00|
Karkotis||SU1088|5.00|Hellenistic-Roman
Karkotis||SU1088|1.00|Iron Age
Karkotis||SU1088|23.00|Medieval-Modern
Karkotis||SU1088|7.00|Prehistoric
Karkotis|TS09|SU1089|21.00|
Karkotis|TS09|SU1089|1.00|Iron Age
Karkotis|TS09|SU1089|1.00|Medieval-Modern
Karkotis|TS09|SU1089|3.00|Prehistoric
Karkotis|TS09|SU1091|1.00|
Karkotis|TS09|SU1091|1.00|Medieval-Modern
Karkotis|TS09|SU1091|1.00|Prehistoric
Karkotis|TS09|SU1092|3.00|
Karkotis|TS09|SU1092|1.00|Medieval-Modern
Karkotis|TS09|SU1092|1.00|Prehistoric
Karkotis||SU1093|3.00|
Karkotis||SU1093|2.00|Prehistoric
Karkotis|TS09|SU1094|43.00|
Karkotis|TS09|SU1094|2.00|Hellenistic-Roman
Karkotis|TS09|SU1094|5.00|Medieval-Modern
Karkotis||SU1095|26.00|
Karkotis||SU1095|29.00|Medieval-Modern
Karkotis||SU1095|1.00|Prehistoric
Karkotis||SU1096|2.00|
Karkotis||SU1096|3.00|Hellenistic-Roman
Karkotis||SU1096|13.00|Medieval-Modern
Karkotis|TS09|SU1099|3.00|Medieval-Modern
Karkotis|TS11|SU1302|16.00|
Karkotis|TS11|SU1302|10.00|Hellenistic-Roman
Karkotis|TS11|SU1302|1.00|Iron Age
Karkotis|TS11|SU1302|22.00|Medieval-Modern
Karkotis|TS11|SU1303|12.00|
Karkotis|TS11|SU1303|14.00|Hellenistic-Roman
Karkotis|TS11|SU1303|21.00|Medieval-Modern
Karkotis|TS11|SU1304|23.00|
Karkotis|TS11|SU1304|18.00|Hellenistic-Roman
Karkotis|TS11|SU1304|7.00|Medieval-Modern
Karkotis||SU1305|41.00|
Karkotis||SU1305|17.00|Hellenistic-Roman
Karkotis||SU1305|25.00|Medieval-Modern
Karkotis||SU1305|3.00|Prehistoric
Karkotis||SU1306|61.00|
Karkotis||SU1306|11.00|Hellenistic-Roman
Karkotis||SU1306|1.00|Iron Age
Karkotis||SU1306|55.00|Medieval-Modern
Karkotis||SU1306|1.00|Prehistoric
Karkotis||SU1307|58.00|
Karkotis||SU1307|14.00|Hellenistic-Roman
Karkotis||SU1307|13.00|Medieval-Modern
Karkotis||SU1308|52.00|
Karkotis||SU1308|26.00|Hellenistic-Roman
Karkotis||SU1308|10.00|Medieval-Modern
Karkotis||SU1308|9.00|Prehistoric
Karkotis||SU1309|32.00|
Karkotis||SU1309|7.00|Hellenistic-Roman
Karkotis||SU1309|20.00|Medieval-Modern
Karkotis||SU1310|60.00|
Karkotis||SU1310|11.00|Hellenistic-Roman
Karkotis||SU1310|6.00|Iron Age
Karkotis||SU1310|40.00|Medieval-Modern
Karkotis||SU1310|2.00|Prehistoric
Karkotis||SU1311|31.00|
Karkotis||SU1311|6.00|Hellenistic-Roman
Karkotis||SU1311|17.00|Medieval-Modern
Karkotis||SU1311|1.00|Prehistoric
Karkotis||SU1312|2.00|
Karkotis||SU1312|3.00|Hellenistic-Roman
Karkotis||SU1313|8.00|
Karkotis||SU1313|1.00|Iron Age
Karkotis||SU1313|1.00|Medieval-Modern
Karkotis||SU1314|6.00|
Karkotis||SU1314|2.00|Hellenistic-Roman
Karkotis||SU1314|4.00|Medieval-Modern
Karkotis||SU1315|51.00|
Karkotis||SU1315|6.00|Hellenistic-Roman
Karkotis||SU1315|55.00|Medieval-Modern
Karkotis||SU1315|1.00|Prehistoric
Karkotis||SU1316|62.00|
Karkotis||SU1316|17.00|Hellenistic-Roman
Karkotis||SU1316|1.00|Iron Age
Karkotis||SU1316|76.00|Medieval-Modern
Karkotis||SU1316|1.00|Prehistoric
Karkotis||SU1317|54.00|
Karkotis||SU1317|1.00|Byzantine
Karkotis||SU1317|7.00|Hellenistic-Roman
Karkotis||SU1317|1.00|Iron Age
Karkotis||SU1317|42.00|Medieval-Modern
Karkotis||SU1317|1.00|Prehistoric
Karkotis||SU1318|43.00|
Karkotis||SU1318|9.00|Hellenistic-Roman
Karkotis||SU1318|41.00|Medieval-Modern
Karkotis||SU1319|34.00|
Karkotis||SU1319|11.00|Hellenistic-Roman
Karkotis||SU1319|27.00|Medieval-Modern
Karkotis||SU1320|51.00|
Karkotis||SU1320|7.00|Hellenistic-Roman
Karkotis||SU1320|1.00|Iron Age
Karkotis||SU1320|32.00|Medieval-Modern
Karkotis||SU1321|12.00|
Karkotis||SU1321|5.00|Hellenistic-Roman
Karkotis||SU1321|5.00|Iron Age
Karkotis||SU1321|4.00|Prehistoric
Karkotis||SU1322|53.00|
Karkotis||SU1322|10.00|Hellenistic-Roman
Karkotis||SU1322|1.00|Iron Age
Karkotis||SU1322|37.00|Medieval-Modern
Karkotis||SU1323|68.00|
Karkotis||SU1323|5.00|Hellenistic-Roman
Karkotis||SU1323|2.00|Iron Age
Karkotis||SU1323|8.00|Medieval-Modern
Karkotis||SU1323|2.00|Prehistoric
Karkotis||SU1324|38.00|
Karkotis||SU1324|15.00|Medieval-Modern
Karkotis||SU1325|75.00|
Karkotis||SU1325|2.00|Byzantine
Karkotis||SU1325|5.00|Hellenistic-Roman
Karkotis||SU1325|60.00|Medieval-Modern
Karkotis||SU1326|45.00|
Karkotis||SU1326|2.00|Hellenistic-Roman
Karkotis||SU1326|35.00|Medieval-Modern
Karkotis||SU1327|55.00|
Karkotis||SU1327|12.00|Hellenistic-Roman
Karkotis||SU1327|24.00|Medieval-Modern
Karkotis||SU1327|2.00|Prehistoric
Koutraphas|TS21|SU1328|1.00|
Koutraphas|TS21|SU1328|1.00|Medieval-Modern
Koutraphas|TS21|SU1329|2.00|Medieval-Modern
Koutraphas|TS21|SU1330|4.00|
Koutraphas|TS21|SU1330|3.00|Hellenistic-Roman
Koutraphas|TS21|SU1332|1.00|Medieval-Modern
Koutraphas|TS21|SU1336|1.00|Medieval-Modern
Koutraphas|TS21|SU1337|1.00|
Koutraphas|TS21|SU1339|1.00|
Koutraphas|TS21|SU1339|2.00|Medieval-Modern
Koutraphas|TS21|SU1340|9.00|Medieval-Modern
Koutraphas|TS21|SU1341|7.00|Medieval-Modern
Koutraphas|TS21|SU1342|1.00|Hellenistic-Roman
Koutraphas|TS21|SU1342|2.00|Medieval-Modern
Koutraphas|TS21|SU1343|2.00|
Koutraphas|TS21|SU1343|6.00|Medieval-Modern
Koutraphas|TS21|SU1344|3.00|
Koutraphas|TS21|SU1344|6.00|Medieval-Modern
Koutraphas|TS21|SU1345|4.00|
Koutraphas|TS21|SU1345|1.00|Hellenistic-Roman
Koutraphas|TS21|SU1345|3.00|Medieval-Modern
Koutraphas|TS21|SU1346|3.00|
Koutraphas|TS21|SU1346|2.00|Medieval-Modern
Koutraphas|TS21|SU1347|3.00|
Koutraphas|TS21|SU1347|2.00|Hellenistic-Roman
Koutraphas|TS21|SU1348|6.00|
Koutraphas|TS21|SU1349|5.00|
Koutraphas|TS21|SU1349|5.00|Medieval-Modern
Koutraphas|TS21|SU1350|5.00|
Koutraphas|TS21|SU1350|1.00|Medieval-Modern
Koutraphas|TS21|SU1351|3.00|
Koutraphas|TS21|SU1351|6.00|Medieval-Modern
Koutraphas|TS21|SU1352|1.00|Medieval-Modern
Asinou|TS12|SU1353|1.00|
Asinou|TS12|SU1353|4.00|Medieval-Modern
Asinou|TS12|SU1354|5.00|
Asinou|TS12|SU1355|3.00|
Asinou|TS12|SU1355|1.00|Medieval-Modern
Asinou|TS12|SU1356|3.00|
Asinou|TS12|SU1356|1.00|Hellenistic-Roman
Asinou|TS12|SU1356|7.00|Medieval-Modern
Asinou|TS12|SU1357|10.00|
Asinou|TS12|SU1357|2.00|Hellenistic-Roman
Asinou|TS12|SU1358|6.00|
Asinou|TS12|SU1358|2.00|Hellenistic-Roman
Asinou|TS12|SU1358|5.00|Medieval-Modern
Asinou|TS12|SU1359|2.00|
Asinou|TS12|SU1359|2.00|Medieval-Modern
Asinou|TS17|SU1360|8.00|
Asinou|TS17|SU1360|1.00|Hellenistic-Roman
Asinou|TS17|SU1360|31.00|Medieval-Modern
Asinou|TS08|SU1361|4.00|
Asinou|TS08|SU1361|15.00|Medieval-Modern
Asinou|TS08|SU1362|7.00|
Asinou|TS08|SU1362|5.00|Medieval-Modern
Asinou|TS08|SU1363|3.00|
Asinou|TS08|SU1363|15.00|Medieval-Modern
Asinou|TS08|SU1364|6.00|
Asinou|TS08|SU1364|12.00|Medieval-Modern
Asinou|TS08|SU1365|20.00|
Asinou|TS08|SU1365|28.00|Medieval-Modern
Asinou|TS08|SU1366|17.00|
Asinou|TS08|SU1366|15.00|Medieval-Modern
Asinou|TS12|SU1367|1.00|Medieval-Modern
Asinou|TS12|SU1368|2.00|
Asinou|TS12|SU1368|1.00|Medieval-Modern
Asinou|TS12|SU1369|11.00|Medieval-Modern
Asinou|TS12|SU1370|2.00|Medieval-Modern
Asinou|TS08|SU1371|12.00|
Asinou|TS08|SU1371|7.00|Hellenistic-Roman
Asinou|TS08|SU1371|16.00|Medieval-Modern
Mandres||SU1372|19.00|
Mandres||SU1372|2.00|Hellenistic-Roman
Mandres||SU1377|1.00|
Mandres|TS07|SU1379|1.00|
Mandres|TS07|SU1379|1.00|Hellenistic-Roman
Mandres|TS07|SU1379|6.00|Medieval-Modern
Mandres|TS07|SU1380|3.00|
Mandres|TS07|SU1380|3.00|Hellenistic-Roman
Mandres|TS07|SU1380|1.00|Iron Age
Mandres|TS07|SU1381|45.00|
Mandres|TS07|SU1381|10.00|Hellenistic-Roman
Mandres|TS07|SU1381|16.00|Medieval-Modern
Mandres|TS07|SU1382|27.00|
Mandres|TS07|SU1382|4.00|Hellenistic-Roman
Mandres|TS07|SU1382|19.00|Medieval-Modern
Mandres|TS07|SU1383|37.00|
Mandres|TS07|SU1383|4.00|Hellenistic-Roman
Mandres|TS07|SU1383|1.00|Iron Age
Mandres|TS07|SU1383|26.00|Medieval-Modern
Mandres|TS07|SU1384|6.00|
Mandres|TS07|SU1384|1.00|Hellenistic-Roman
Mandres|TS07|SU1384|6.00|Medieval-Modern
Mandres|TS07|SU1385|1.00|
Mandres|TS07|SU1385|4.00|Medieval-Modern
Mandres|TS07|SU1386|2.00|
Mandres|TS07|SU1386|1.00|Hellenistic-Roman
Mandres|TS07|SU1386|3.00|Medieval-Modern
Mandres|TS07|SU1387|2.00|
Mandres|TS07|SU1387|5.00|Medieval-Modern
Mandres|TS07|SU1388|2.00|
Mandres|TS07|SU1388|1.00|Iron Age
Karkotis|TS11|SU1602|6.00|
Karkotis|TS11|SU1602|1.00|Hellenistic-Roman
Karkotis|TS11|SU1602|1.00|Iron Age
Karkotis|TS11|SU1602|3.00|Medieval-Modern
Karkotis|TS11|SU1603|4.00|
Karkotis|TS11|SU1603|6.00|Hellenistic-Roman
Karkotis|TS11|SU1603|2.00|Medieval-Modern
Karkotis|TS11|SU1603|1.00|Prehistoric
Karkotis|TS11|SU1604|7.00|
Karkotis|TS11|SU1604|2.00|Hellenistic-Roman
Karkotis|TS11|SU1604|1.00|Medieval-Modern
Karkotis|TS11|SU1605|40.00|
Karkotis|TS11|SU1605|25.00|Hellenistic-Roman
Karkotis|TS11|SU1605|1.00|Iron Age
Karkotis|TS11|SU1605|46.00|Medieval-Modern
Xyliatos||SU1606|1.00|
Xyliatos||SU1607|1.00|
Xyliatos||SU1609|2.00|Medieval-Modern
Xyliatos||SU1617|1.00|Medieval-Modern
Xyliatos||SU1618|1.00|
Xyliatos||SU1618|1.00|Hellenistic-Roman
Xyliatos|TS02|SU1620|82.00|
Xyliatos|TS02|SU1620|6.00|Hellenistic-Roman
Xyliatos|TS02|SU1620|3.00|Iron Age
Xyliatos|TS02|SU1620|11.00|Medieval-Modern
Xyliatos|TS02|SU1621|24.00|
Xyliatos|TS02|SU1621|9.00|Hellenistic-Roman
Xyliatos|TS02|SU1621|10.00|Medieval-Modern
Xyliatos|TS02|SU1622|34.00|
Xyliatos|TS02|SU1622|8.00|Hellenistic-Roman
Xyliatos|TS02|SU1623|42.00|
Xyliatos|TS02|SU1623|23.00|Hellenistic-Roman
Xyliatos|TS02|SU1623|2.00|Medieval-Modern
Xyliatos|TS02|SU1624|9.00|
Xyliatos|TS02|SU1624|2.00|Hellenistic-Roman
Xyliatos|TS02|SU1625|14.00|
Xyliatos|TS02|SU1625|1.00|Hellenistic-Roman
Xyliatos|TS02|SU1626|45.00|
Xyliatos|TS02|SU1626|5.00|Hellenistic-Roman
Xyliatos|TS02|SU1626|7.00|Medieval-Modern
Xyliatos|TS02|SU1626|3.00|Prehistoric
Xyliatos|TS02|SU1628|22.00|
Xyliatos|TS02|SU1628|2.00|Hellenistic-Roman
Xyliatos|TS02|SU1629|20.00|
Xyliatos|TS02|SU1629|7.00|Hellenistic-Roman
Xyliatos|TS02|SU1629|6.00|Medieval-Modern
Xyliatos|TS02|SU1630|6.00|
Xyliatos|TS02|SU1630|12.00|Medieval-Modern
Xyliatos|TS02|SU1631|22.00|
Xyliatos|TS02|SU1631|1.00|Hellenistic-Roman
Xyliatos|TS02|SU1631|5.00|Medieval-Modern
Xyliatos|TS02|SU1632|26.00|
Xyliatos|TS02|SU1632|4.00|Hellenistic-Roman
Xyliatos|TS02|SU1632|4.00|Medieval-Modern
Xyliatos|TS02|SU1633|13.00|
Xyliatos|TS02|SU1633|1.00|Medieval-Modern
Xyliatos|TS02|SU1634|19.00|
Xyliatos|TS02|SU1634|15.00|Hellenistic-Roman
Xyliatos|TS02|SU1634|31.00|Medieval-Modern
Xyliatos|TS02|SU1635|7.00|
Xyliatos|TS02|SU1635|1.00|Hellenistic-Roman
Xyliatos|TS02|SU1636|13.00|
Xyliatos|TS02|SU1636|1.00|Hellenistic-Roman
Xyliatos|TS02|SU1636|2.00|Medieval-Modern
Xyliatos|TS02|SU1637|14.00|
Xyliatos|TS02|SU1637|5.00|Hellenistic-Roman
Xyliatos|TS02|SU1638|7.00|
Xyliatos|TS02|SU1638|4.00|Hellenistic-Roman
Xyliatos|TS02|SU1638|3.00|Medieval-Modern
Xyliatos|TS02|SU1639|17.00|
Xyliatos|TS02|SU1639|1.00|Byzantine
Xyliatos|TS02|SU1639|5.00|Hellenistic-Roman
Xyliatos|TS02|SU1639|11.00|Medieval-Modern
Xyliatos|TS02|SU1640|4.00|
Xyliatos|TS02|SU1640|3.00|Hellenistic-Roman
Xyliatos|TS02|SU1640|7.00|Medieval-Modern
Xyliatos|TS02|SU1641|15.00|
Xyliatos|TS02|SU1641|3.00|Hellenistic-Roman
Xyliatos|TS02|SU1641|2.00|Medieval-Modern
Xyliatos|TS02|SU1642|6.00|
Xyliatos|TS02|SU1642|2.00|Medieval-Modern
Xyliatos|TS02|SU1643|7.00|
Xyliatos|TS02|SU1643|4.00|Hellenistic-Roman
Xyliatos|TS02|SU1644|5.00|
Xyliatos|TS02|SU1644|1.00|Hellenistic-Roman
Xyliatos|TS02|SU1644|2.00|Medieval-Modern
Xyliatos|TS02|SU1645|5.00|
Xyliatos|TS02|SU1645|2.00|Hellenistic-Roman
Xyliatos|TS02|SU1645|5.00|Medieval-Modern
